location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,44.44182136899909,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.01,1.641887908442583,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.01,44.90225210046053,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.01,157.3921891328583,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.01,128.56619292250355,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.01,104.93982635969833,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.01,56.364507773519236,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.01,4.804341164251268,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.01,3.3467614757253856,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.01,488.4678349769357,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.01,148.96368996514434,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.01,0.41382075087868747,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.01,18.895606673074933,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.01,110.21557033927682,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.01,267.94199466669744,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.01,56.312354075613655,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.01,100.58388038626018,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.01,139.51444910838757,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.01,19.801994982448296,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.01,37.00570435188894,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.01,42.40619674894836,2024-02-17,2024-02-17,quantile,wk inc flu hosp
25,-1,0.01,259.20883937872543,2024-02-17,2024-02-17,quantile,wk inc flu hosp
26,-1,0.01,427.6167529245544,2024-02-17,2024-02-17,quantile,wk inc flu hosp
27,-1,0.01,92.50558498440877,2024-02-17,2024-02-17,quantile,wk inc flu hosp
28,-1,0.01,26.86954177911124,2024-02-17,2024-02-17,quantile,wk inc flu hosp
29,-1,0.01,178.34709768593274,2024-02-17,2024-02-17,quantile,wk inc flu hosp
30,-1,0.01,33.80594451145682,2024-02-17,2024-02-17,quantile,wk inc flu hosp
31,-1,0.01,23.251500791892834,2024-02-17,2024-02-17,quantile,wk inc flu hosp
32,-1,0.01,4.9310968798368995,2024-02-17,2024-02-17,quantile,wk inc flu hosp
33,-1,0.01,18.29704378638605,2024-02-17,2024-02-17,quantile,wk inc flu hosp
34,-1,0.01,151.95717492209045,2024-02-17,2024-02-17,quantile,wk inc flu hosp
35,-1,0.01,29.631848600821613,2024-02-17,2024-02-17,quantile,wk inc flu hosp
