location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,158.03063846167188,2023-12-30,2023-12-30,quantile,wk inc flu hosp
02,-1,0.01,0.0,2023-12-30,2023-12-30,quantile,wk inc flu hosp
04,-1,0.01,658.7574618705933,2023-12-30,2023-12-30,quantile,wk inc flu hosp
05,-1,0.01,41.52627231068433,2023-12-30,2023-12-30,quantile,wk inc flu hosp
06,-1,0.01,1439.9050784982617,2023-12-30,2023-12-30,quantile,wk inc flu hosp
08,-1,0.01,154.2782025432912,2023-12-30,2023-12-30,quantile,wk inc flu hosp
09,-1,0.01,62.51875378062985,2023-12-30,2023-12-30,quantile,wk inc flu hosp
10,-1,0.01,3.6717788631304127,2023-12-30,2023-12-30,quantile,wk inc flu hosp
11,-1,0.01,13.325767657558169,2023-12-30,2023-12-30,quantile,wk inc flu hosp
12,-1,0.01,655.6982946575334,2023-12-30,2023-12-30,quantile,wk inc flu hosp
13,-1,0.01,460.04185743490945,2023-12-30,2023-12-30,quantile,wk inc flu hosp
15,-1,0.01,8.215471634098273,2023-12-30,2023-12-30,quantile,wk inc flu hosp
16,-1,0.01,73.53484683073465,2023-12-30,2023-12-30,quantile,wk inc flu hosp
17,-1,0.01,331.6340524957765,2023-12-30,2023-12-30,quantile,wk inc flu hosp
18,-1,0.01,299.464053466624,2023-12-30,2023-12-30,quantile,wk inc flu hosp
19,-1,0.01,38.34072196814187,2023-12-30,2023-12-30,quantile,wk inc flu hosp
20,-1,0.01,44.00519248379656,2023-12-30,2023-12-30,quantile,wk inc flu hosp
21,-1,0.01,66.50264426851187,2023-12-30,2023-12-30,quantile,wk inc flu hosp
22,-1,0.01,188.32005659722074,2023-12-30,2023-12-30,quantile,wk inc flu hosp
23,-1,0.01,5.408697179473513,2023-12-30,2023-12-30,quantile,wk inc flu hosp
24,-1,0.01,142.05920982291198,2023-12-30,2023-12-30,quantile,wk inc flu hosp
25,-1,0.01,267.25573139072935,2023-12-30,2023-12-30,quantile,wk inc flu hosp
26,-1,0.01,160.39580479390787,2023-12-30,2023-12-30,quantile,wk inc flu hosp
27,-1,0.01,69.64265605957941,2023-12-30,2023-12-30,quantile,wk inc flu hosp
28,-1,0.01,105.42416393862639,2023-12-30,2023-12-30,quantile,wk inc flu hosp
29,-1,0.01,129.32453932523836,2023-12-30,2023-12-30,quantile,wk inc flu hosp
30,-1,0.01,29.058031543834986,2023-12-30,2023-12-30,quantile,wk inc flu hosp
31,-1,0.01,19.3258347854372,2023-12-30,2023-12-30,quantile,wk inc flu hosp
32,-1,0.01,111.32301249826216,2023-12-30,2023-12-30,quantile,wk inc flu hosp
33,-1,0.01,13.856809491405157,2023-12-30,2023-12-30,quantile,wk inc flu hosp
34,-1,0.01,326.99805837587377,2023-12-30,2023-12-30,quantile,wk inc flu hosp
35,-1,0.01,166.7468576326074,2023-12-30,2023-12-30,quantile,wk inc flu hosp
36,-1,0.01,763.1201259274973,2023-12-30,2023-12-30,quantile,wk inc flu hosp
37,-1,0.01,555.0968856118493,2023-12-30,2023-12-30,quantile,wk inc flu hosp
38,-1,0.01,5.257930182698371,2023-12-30,2023-12-30,quantile,wk inc flu hosp
39,-1,0.01,319.76948621325863,2023-12-30,2023-12-30,quantile,wk inc flu hosp
40,-1,0.01,89.31160486460863,2023-12-30,2023-12-30,quantile,wk inc flu hosp
41,-1,0.01,53.671911808679205,2023-12-30,2023-12-30,quantile,wk inc flu hosp
42,-1,0.01,587.797124469791,2023-12-30,2023-12-30,quantile,wk inc flu hosp
44,-1,0.01,8.01769528305468,2023-12-30,2023-12-30,quantile,wk inc flu hosp
45,-1,0.01,286.2963264617575,2023-12-30,2023-12-30,quantile,wk inc flu hosp
46,-1,0.01,8.774610933627093,2023-12-30,2023-12-30,quantile,wk inc flu hosp
47,-1,0.01,190.33868254828613,2023-12-30,2023-12-30,quantile,wk inc flu hosp
48,-1,0.01,1345.8193323256285,2023-12-30,2023-12-30,quantile,wk inc flu hosp
49,-1,0.01,25.405427536186856,2023-12-30,2023-12-30,quantile,wk inc flu hosp
50,-1,0.01,2.8075922873975157,2023-12-30,2023-12-30,quantile,wk inc flu hosp
51,-1,0.01,261.9573166205427,2023-12-30,2023-12-30,quantile,wk inc flu hosp
53,-1,0.01,100.0437088840214,2023-12-30,2023-12-30,quantile,wk inc flu hosp
54,-1,0.01,39.76953440849771,2023-12-30,2023-12-30,quantile,wk inc flu hosp
55,-1,0.01,124.99156213036086,2023-12-30,2023-12-30,quantile,wk inc flu hosp
