location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,46.52812859802163,2024-02-17,2024-02-17,quantile,wk inc flu hosp
02,-1,0.01,1.0902152195686945,2024-02-17,2024-02-17,quantile,wk inc flu hosp
04,-1,0.01,41.64122305649496,2024-02-17,2024-02-17,quantile,wk inc flu hosp
05,-1,0.01,164.64853143262891,2024-02-17,2024-02-17,quantile,wk inc flu hosp
06,-1,0.01,142.1679672353895,2024-02-17,2024-02-17,quantile,wk inc flu hosp
08,-1,0.01,115.88679178505106,2024-02-17,2024-02-17,quantile,wk inc flu hosp
09,-1,0.01,71.76335507032265,2024-02-17,2024-02-17,quantile,wk inc flu hosp
10,-1,0.01,5.645627934694443,2024-02-17,2024-02-17,quantile,wk inc flu hosp
11,-1,0.01,3.585075331770533,2024-02-17,2024-02-17,quantile,wk inc flu hosp
12,-1,0.01,547.4910336145364,2024-02-17,2024-02-17,quantile,wk inc flu hosp
13,-1,0.01,156.98160217266218,2024-02-17,2024-02-17,quantile,wk inc flu hosp
15,-1,0.01,1.7038148705163694,2024-02-17,2024-02-17,quantile,wk inc flu hosp
16,-1,0.01,17.88936202080872,2024-02-17,2024-02-17,quantile,wk inc flu hosp
17,-1,0.01,125.02296166530012,2024-02-17,2024-02-17,quantile,wk inc flu hosp
18,-1,0.01,261.8429098472636,2024-02-17,2024-02-17,quantile,wk inc flu hosp
19,-1,0.01,53.02973334270997,2024-02-17,2024-02-17,quantile,wk inc flu hosp
20,-1,0.01,94.23504031885723,2024-02-17,2024-02-17,quantile,wk inc flu hosp
21,-1,0.01,141.18398910523518,2024-02-17,2024-02-17,quantile,wk inc flu hosp
22,-1,0.01,19.98167738137318,2024-02-17,2024-02-17,quantile,wk inc flu hosp
23,-1,0.01,29.160279495168027,2024-02-17,2024-02-17,quantile,wk inc flu hosp
24,-1,0.01,51.95853541864683,2024-02-17,2024-02-17,quantile,wk inc flu hosp
25,-1,0.01,268.62756823288197,2024-02-17,2024-02-17,quantile,wk inc flu hosp
26,-1,0.01,425.440447126128,2024-02-17,2024-02-17,quantile,wk inc flu hosp
27,-1,0.01,93.7326077668985,2024-02-17,2024-02-17,quantile,wk inc flu hosp
28,-1,0.01,28.917308198132762,2024-02-17,2024-02-17,quantile,wk inc flu hosp
29,-1,0.01,187.2192178440109,2024-02-17,2024-02-17,quantile,wk inc flu hosp
30,-1,0.01,36.51921248100412,2024-02-17,2024-02-17,quantile,wk inc flu hosp
31,-1,0.01,22.636496334316963,2024-02-17,2024-02-17,quantile,wk inc flu hosp
