location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,3.793538457668873,2023-10-28,2023-10-28,quantile,wk inc flu hosp
02,-1,0.01,3.3015915825947104,2023-10-28,2023-10-28,quantile,wk inc flu hosp
04,-1,0.01,23.778214443632926,2023-10-28,2023-10-28,quantile,wk inc flu hosp
05,-1,0.01,1.821887129506312,2023-10-28,2023-10-28,quantile,wk inc flu hosp
06,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
08,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
09,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
10,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
11,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
12,-1,0.01,169.68391724022436,2023-10-28,2023-10-28,quantile,wk inc flu hosp
13,-1,0.01,2.935851808602743,2023-10-28,2023-10-28,quantile,wk inc flu hosp
15,-1,0.01,1.2989081591345168,2023-10-28,2023-10-28,quantile,wk inc flu hosp
16,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
17,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
18,-1,0.01,1.0292696649773885,2023-10-28,2023-10-28,quantile,wk inc flu hosp
19,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
20,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
21,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
22,-1,0.01,9.333529152394947,2023-10-28,2023-10-28,quantile,wk inc flu hosp
23,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
24,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
25,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
26,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
27,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
28,-1,0.01,3.0291694797838566,2023-10-28,2023-10-28,quantile,wk inc flu hosp
29,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
30,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
31,-1,0.01,0.2221864754307644,2023-10-28,2023-10-28,quantile,wk inc flu hosp
32,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
33,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
34,-1,0.01,5.006454286779224,2023-10-28,2023-10-28,quantile,wk inc flu hosp
35,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
36,-1,0.01,1.9949865030915646,2023-10-28,2023-10-28,quantile,wk inc flu hosp
37,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
38,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
39,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
40,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
41,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
42,-1,0.01,5.670935572472743,2023-10-28,2023-10-28,quantile,wk inc flu hosp
44,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
45,-1,0.01,11.247371623915155,2023-10-28,2023-10-28,quantile,wk inc flu hosp
46,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
47,-1,0.01,7.309172566860195,2023-10-28,2023-10-28,quantile,wk inc flu hosp
48,-1,0.01,187.51317543164745,2023-10-28,2023-10-28,quantile,wk inc flu hosp
49,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
50,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
51,-1,0.01,27.273298472139846,2023-10-28,2023-10-28,quantile,wk inc flu hosp
53,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
54,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
55,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
56,-1,0.01,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
72,-1,0.01,56.914278355275734,2023-10-28,2023-10-28,quantile,wk inc flu hosp
US,-1,0.01,747.5810165141841,2023-10-28,2023-10-28,quantile,wk inc flu hosp
01,-1,0.025,8.354401938389701,2023-10-28,2023-10-28,quantile,wk inc flu hosp
02,-1,0.025,5.086871208558438,2023-10-28,2023-10-28,quantile,wk inc flu hosp
04,-1,0.025,30.685358674239485,2023-10-28,2023-10-28,quantile,wk inc flu hosp
05,-1,0.025,3.885318542744774,2023-10-28,2023-10-28,quantile,wk inc flu hosp
06,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
08,-1,0.025,1.3304473481455916,2023-10-28,2023-10-28,quantile,wk inc flu hosp
09,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
10,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
11,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
12,-1,0.025,192.17102887577244,2023-10-28,2023-10-28,quantile,wk inc flu hosp
13,-1,0.025,4.949110101643549,2023-10-28,2023-10-28,quantile,wk inc flu hosp
15,-1,0.025,2.502106851212839,2023-10-28,2023-10-28,quantile,wk inc flu hosp
16,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
17,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
18,-1,0.025,2.7037150951149402,2023-10-28,2023-10-28,quantile,wk inc flu hosp
19,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
20,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
21,-1,0.025,1.3126268625820359,2023-10-28,2023-10-28,quantile,wk inc flu hosp
22,-1,0.025,12.078800558531942,2023-10-28,2023-10-28,quantile,wk inc flu hosp
23,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
24,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
25,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
26,-1,0.025,0.0,2023-10-28,2023-10-28,quantile,wk inc flu hosp
