location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,-1,0.01,43.020707563400585,2024-02-24,2024-02-24,quantile,wk inc flu hosp
02,-1,0.01,0.0,2024-02-24,2024-02-24,quantile,wk inc flu hosp
04,-1,0.01,62.76647976785376,2024-02-24,2024-02-24,quantile,wk inc flu hosp
05,-1,0.01,120.40609071385488,2024-02-24,2024-02-24,quantile,wk inc flu hosp
06,-1,0.01,86.49864718724834,2024-02-24,2024-02-24,quantile,wk inc flu hosp
08,-1,0.01,57.26769905625072,2024-02-24,2024-02-24,quantile,wk inc flu hosp
09,-1,0.01,57.525477756944184,2024-02-24,2024-02-24,quantile,wk inc flu hosp
10,-1,0.01,5.993142108574024,2024-02-24,2024-02-24,quantile,wk inc flu hosp
11,-1,0.01,4.907124986896201,2024-02-24,2024-02-24,quantile,wk inc flu hosp
12,-1,0.01,343.5581084131778,2024-02-24,2024-02-24,quantile,wk inc flu hosp
13,-1,0.01,67.90681915094659,2024-02-24,2024-02-24,quantile,wk inc flu hosp
15,-1,0.01,1.320597341947656,2024-02-24,2024-02-24,quantile,wk inc flu hosp
16,-1,0.01,17.55836117713343,2024-02-24,2024-02-24,quantile,wk inc flu hosp
17,-1,0.01,138.56118889712474,2024-02-24,2024-02-24,quantile,wk inc flu hosp
18,-1,0.01,218.78097979191153,2024-02-24,2024-02-24,quantile,wk inc flu hosp
19,-1,0.01,60.08796140185537,2024-02-24,2024-02-24,quantile,wk inc flu hosp
20,-1,0.01,82.50648979536112,2024-02-24,2024-02-24,quantile,wk inc flu hosp
21,-1,0.01,144.62520875769872,2024-02-24,2024-02-24,quantile,wk inc flu hosp
22,-1,0.01,19.612033317620927,2024-02-24,2024-02-24,quantile,wk inc flu hosp
23,-1,0.01,37.87019548621009,2024-02-24,2024-02-24,quantile,wk inc flu hosp
24,-1,0.01,55.622976352986015,2024-02-24,2024-02-24,quantile,wk inc flu hosp
25,-1,0.01,372.19901057374005,2024-02-24,2024-02-24,quantile,wk inc flu hosp
26,-1,0.01,474.4317978153365,2024-02-24,2024-02-24,quantile,wk inc flu hosp
27,-1,0.01,98.68310096191466,2024-02-24,2024-02-24,quantile,wk inc flu hosp
28,-1,0.01,25.25254623904103,2024-02-24,2024-02-24,quantile,wk inc flu hosp
29,-1,0.01,181.34452094003265,2024-02-24,2024-02-24,quantile,wk inc flu hosp
30,-1,0.01,3.124804074703005,2024-02-24,2024-02-24,quantile,wk inc flu hosp
31,-1,0.01,24.214855076114233,2024-02-24,2024-02-24,quantile,wk inc flu hosp
32,-1,0.01,18.52641100981916,2024-02-24,2024-02-24,quantile,wk inc flu hosp
33,-1,0.01,14.94655541300484,2024-02-24,2024-02-24,quantile,wk inc flu hosp
34,-1,0.01,197.94806652318456,2024-02-24,2024-02-24,quantile,wk inc flu hosp
35,-1,0.01,32.23156061092062,2024-02-24,2024-02-24,quantile,wk inc flu hosp
36,-1,0.01,568.4674607441799,2024-02-24,2024-02-24,quantile,wk inc flu hosp
37,-1,0.01,72.77123042999561,2024-02-24,2024-02-24,quantile,wk inc flu hosp
38,-1,0.01,8.655686036855561,2024-02-24,2024-02-24,quantile,wk inc flu hosp
39,-1,0.01,372.4739113934503,2024-02-24,2024-02-24,quantile,wk inc flu hosp
40,-1,0.01,184.29264732040923,2024-02-24,2024-02-24,quantile,wk inc flu hosp
41,-1,0.01,18.593916406808,2024-02-24,2024-02-24,quantile,wk inc flu hosp
42,-1,0.01,287.7321439654001,2024-02-24,2024-02-24,quantile,wk inc flu hosp
44,-1,0.01,7.022549697620972,2024-02-24,2024-02-24,quantile,wk inc flu hosp
45,-1,0.01,53.56656738587748,2024-02-24,2024-02-24,quantile,wk inc flu hosp
46,-1,0.01,4.712125297437484,2024-02-24,2024-02-24,quantile,wk inc flu hosp
47,-1,0.01,78.32353068658787,2024-02-24,2024-02-24,quantile,wk inc flu hosp
48,-1,0.01,507.42393239820285,2024-02-24,2024-02-24,quantile,wk inc flu hosp
49,-1,0.01,1.7942196955743601,2024-02-24,2024-02-24,quantile,wk inc flu hosp
50,-1,0.01,4.401575022764394,2024-02-24,2024-02-24,quantile,wk inc flu hosp
51,-1,0.01,80.63956762424948,2024-02-24,2024-02-24,quantile,wk inc flu hosp
53,-1,0.01,19.57411508553418,2024-02-24,2024-02-24,quantile,wk inc flu hosp
54,-1,0.01,86.02406663300056,2024-02-24,2024-02-24,quantile,wk inc flu hosp
55,-1,0.01,105.27332621425592,2024-02-24,2024-02-24,quantile,wk inc flu hosp
56,-1,0.01,9.795141268294167,2024-02-24,2024-02-24,quantile,wk inc flu hosp
72,-1,0.01,26.960923720069317,2024-02-24,2024-02-24,quantile,wk inc flu hosp
US,-1,0.01,7210.84354303819,2024-02-24,2024-02-24,quantile,wk inc flu hosp
01,-1,0.025,49.087088512773306,2024-02-24,2024-02-24,quantile,wk inc flu hosp
02,-1,0.025,0.0,2024-02-24,2024-02-24,quantile,wk inc flu hosp
04,-1,0.025,72.76970313965863,2024-02-24,2024-02-24,quantile,wk inc flu hosp
05,-1,0.025,131.93450667744736,2024-02-24,2024-02-24,quantile,wk inc flu hosp
06,-1,0.025,117.27140242313249,2024-02-24,2024-02-24,quantile,wk inc flu hosp
08,-1,0.025,61.96711890354297,2024-02-24,2024-02-24,quantile,wk inc flu hosp
09,-1,0.025,62.33342250697673,2024-02-24,2024-02-24,quantile,wk inc flu hosp
10,-1,0.025,8.276146981964569,2024-02-24,2024-02-24,quantile,wk inc flu hosp
11,-1,0.025,6.582477848645248,2024-02-24,2024-02-24,quantile,wk inc flu hosp
12,-1,0.025,364.5020703722838,2024-02-24,2024-02-24,quantile,wk inc flu hosp
13,-1,0.025,81.4100371562459,2024-02-24,2024-02-24,quantile,wk inc flu hosp
